Order Date,Requested Delivery Date,Customer Country Code,Product Code,Description,Order Type,Customer Order Code,Value,Currency,Items,Route
2011-03-19,2011-03-21,ES,P6932,Desc_P6932,VO,COC39794,330.32348650339816,USD,6,R3
2010-12-14,2011-01-15,RU,P8981,Desc_P8981,VO,COC21667,181.71508167139504,USD,1,R5
2009-05-22,2009-07-21,ES,P9298,Desc_P9298,VO,COC77385,75.80692526343536,EUR,7,R2
2010-03-20,2010-05-14,ES,P9256,Desc_P9256,VO,COC42583,73.06260433295483,EUR,6,R1
2009-02-24,2009-04-02,IT,P1142,Desc_P1142,VO,COC18569,499.9608482366351,USD,6,R4
2011-04-13,2011-04-24,DE,P7961,Desc_P7961,VO,COC15061,249.1045298243042,EUR,6,R5
2009-02-19,2009-02-23,ES,P6173,Desc_P6173,VO,COC87927,216.37093821835575,USD,1,R1
2011-02-19,2011-04-12,DE,P9713,Desc_P9713,VO,COC65639,389.0922534049335,EUR,4,R1
2011-03-20,2011-05-15,IT,P4657,Desc_P4657,VO,COC34415,247.55347944120268,USD,1,R3
2010-07-24,2010-08-02,ES,P5895,Desc_P5895,VO,COC37865,62.36515020338165,EUR,3,R4
2009-12-17,2010-01-29,FR,P7610,Desc_P7610,VO,COC74482,437.88011790613695,EUR,5,R2
2009-12-09,2009-12-24,RU,P9986,Desc_P9986,VO,COC13841,330.97987692919946,USD,2,R3
2009-07-15,2009-09-07,FR,P8028,Desc_P8028,VO,COC59351,63.753129571957636,USD,8,R5
2011-08-04,2011-09-02,DE,P9385,Desc_P9385,VO,COC89838,307.8572309955278,EUR,1,R5
2011-04-04,2011-04-26,ES,P6903,Desc_P6903,VO,COC52302,143.97193085352788,USD,6,R4
2009-01-14,2009-01-24,IT,P4241,Desc_P4241,VO,COC21934,492.06645972513206,USD,10,R1
2009-02-03,2009-02-15,ES,P4308,Desc_P4308,VO,COC87688,119.28487377636382,EUR,9,R5
2010-09-03,2010-10-25,FR,P9433,Desc_P9433,VO,COC50355,446.925922179951,USD,3,R2
2009-06-25,2009-07-17,IT,P9008,Desc_P9008,VO,COC85250,387.1432389735013,EUR,3,R4
2011-07-03,2011-08-26,IT,P2441,Desc_P2441,VO,COC79661,138.48339515707454,EUR,10,R5
2009-03-30,2009-04-15,RU,P1401,Desc_P1401,VO,COC22757,153.68063170500358,EUR,2,R2
2010-03-28,2010-05-07,ES,P7117,Desc_P7117,VO,COC95027,204.75718540958263,EUR,5,R3
2009-03-04,2009-03-16,FR,P9139,Desc_P9139,VO,COC80713,459.64960264814835,EUR,4,R4
2011-11-02,2011-11-09,DE,P6732,Desc_P6732,VO,COC60684,137.15278325534098,EUR,4,R5
2010-07-01,2010-07-31,FR,P9984,Desc_P9984,VO,COC15640,273.8589158183313,USD,1,R5
2011-04-10,2011-05-19,FR,P7259,Desc_P7259,VO,COC65484,380.5228060399606,USD,9,R3
2011-07-30,2011-08-15,ES,P6643,Desc_P6643,VO,COC92142,192.14953252918093,EUR,1,R1
2011-02-19,2011-03-07,IT,P7249,Desc_P7249,VO,COC55940,305.351438472488,USD,1,R3
2009-11-19,2009-12-19,ES,P4014,Desc_P4014,VO,COC48769,201.66773920360413,USD,6,R3
2009-06-23,2009-07-09,RU,P7939,Desc_P7939,VO,COC37715,139.43485354189534,EUR,6,R5
2011-06-12,2011-08-06,ES,P3230,Desc_P3230,VO,COC15255,169.04498681415788,EUR,5,R2
2009-11-11,2009-12-14,IT,P1140,Desc_P1140,VO,COC13777,51.63514287217761,USD,4,R1
2009-05-04,2009-06-11,IT,P7532,Desc_P7532,VO,COC75895,423.8031187770439,EUR,1,R5
2011-08-06,2011-08-22,DE,P7202,Desc_P7202,VO,COC49361,457.0765840465019,EUR,4,R1
2009-06-18,2009-06-19,DE,P3054,Desc_P3054,VO,COC66534,412.3095908722167,USD,8,R3
2011-11-03,2011-12-02,ES,P2812,Desc_P2812,VO,COC79726,364.2129795638012,EUR,6,R5
2009-08-01,2009-08-10,RU,P4617,Desc_P4617,VO,COC47099,471.28163002186466,USD,7,R3
2009-11-15,2009-11-29,RU,P5044,Desc_P5044,VO,COC81122,314.3524524923997,USD,6,R3
2011-04-25,2011-06-03,RU,P6097,Desc_P6097,VO,COC98711,464.42574347219806,USD,5,R4
2011-06-03,2011-06-27,FR,P9552,Desc_P9552,VO,COC48166,159.82442038096673,USD,3,R4
2010-12-05,2010-12-23,ES,P9422,Desc_P9422,VO,COC93795,368.8725864022392,EUR,4,R3
2009-10-02,2009-11-09,DE,P6932,Desc_P6932,VO,COC76962,105.53853690071972,EUR,6,R3
2011-05-21,2011-06-19,IT,P4793,Desc_P4793,VO,COC88856,335.1980459132695,EUR,6,R3
2009-02-20,2009-03-24,IT,P6497,Desc_P6497,VO,COC93449,61.47564539404444,EUR,2,R1
2010-06-02,2010-06-11,FR,P2762,Desc_P2762,VO,COC66145,352.5356185204562,EUR,1,R2
2011-12-23,2012-01-08,IT,P6540,Desc_P6540,VO,COC57519,174.99693083661427,EUR,2,R1
2011-11-03,2011-12-01,FR,P5596,Desc_P5596,VO,COC16719,300.6181517665057,EUR,2,R4
2010-12-16,2011-01-24,ES,P2717,Desc_P2717,VO,COC63473,467.65784138162365,USD,5,R5
2011-07-30,2011-09-04,RU,P9150,Desc_P9150,VO,COC49848,76.33909590294603,USD,3,R2
2009-05-03,2009-06-05,IT,P9251,Desc_P9251,VO,COC15115,473.8949211737186,EUR,1,R1
2009-10-18,2009-12-02,ES,P6109,Desc_P6109,VO,COC73914,394.55182930941083,EUR,1,R4
2011-01-30,2011-02-12,FR,P4149,Desc_P4149,VO,COC24835,261.7041569366944,USD,9,R5
2009-09-21,2009-10-24,DE,P9264,Desc_P9264,VO,COC93799,375.16247149728196,EUR,8,R3
2010-02-12,2010-03-15,FR,P2728,Desc_P2728,VO,COC64389,210.7836741709176,EUR,5,R3
2010-11-06,2010-12-09,RU,P4348,Desc_P4348,VO,COC11625,130.86097281281735,USD,9,R1
2009-06-16,2009-08-05,DE,P8320,Desc_P8320,VO,COC44132,235.81787697390465,EUR,5,R4
2009-04-07,2009-05-12,RU,P1003,Desc_P1003,VO,COC73309,188.48358974823876,USD,2,R1
2009-04-21,2009-04-23,FR,P9788,Desc_P9788,VO,COC38180,213.64135362622537,EUR,10,R3
2009-04-22,2009-05-21,DE,P6837,Desc_P6837,VO,COC47847,331.4164818194606,EUR,3,R2
2011-10-11,2011-11-29,IT,P9411,Desc_P9411,VO,COC68290,53.41563109261131,USD,9,R4
2010-06-12,2010-07-03,ES,P8084,Desc_P8084,VO,COC46227,92.97155487213269,EUR,1,R4
2010-02-16,2010-04-15,DE,P7029,Desc_P7029,VO,COC62054,262.20464522869065,USD,2,R5
2011-04-19,2011-06-11,IT,P3605,Desc_P3605,VO,COC75248,173.2842371050241,EUR,2,R2
2010-03-25,2010-03-31,DE,P9349,Desc_P9349,VO,COC58228,379.9292365517215,USD,10,R4
2010-02-05,2010-04-04,DE,P9798,Desc_P9798,VO,COC96204,302.1392260441793,EUR,7,R5
2009-01-07,2009-01-22,RU,P2144,Desc_P2144,VO,COC28405,291.0956166227144,EUR,9,R3
2009-06-20,2009-08-12,ES,P3396,Desc_P3396,VO,COC17147,470.1844413230945,EUR,3,R2
2011-12-19,2011-12-30,FR,P8254,Desc_P8254,VO,COC48451,350.57217991460647,EUR,5,R4
2009-03-05,2009-03-25,RU,P1109,Desc_P1109,VO,COC43876,233.75021665955035,EUR,4,R5
2011-08-18,2011-09-25,RU,P9798,Desc_P9798,VO,COC85714,204.1540046783075,USD,5,R4
2009-03-31,2009-04-09,DE,P5715,Desc_P5715,VO,COC37475,144.1238874953391,USD,4,R2
2010-10-28,2010-11-21,FR,P9248,Desc_P9248,VO,COC55363,144.25412714993064,EUR,3,R3
2009-04-24,2009-05-18,DE,P3881,Desc_P3881,VO,COC16540,145.37695646036474,EUR,1,R3
2009-11-02,2009-11-25,DE,P9859,Desc_P9859,VO,COC35345,291.43510395590306,EUR,3,R4
2010-02-07,2010-02-27,DE,P7746,Desc_P7746,VO,COC32082,363.3457497470017,EUR,8,R4
2011-12-01,2011-12-24,IT,P8862,Desc_P8862,VO,COC31431,221.0749582906173,EUR,6,R1
2009-06-19,2009-07-07,RU,P4145,Desc_P4145,VO,COC92324,226.37891188006998,EUR,8,R1
2010-03-03,2010-03-04,IT,P3078,Desc_P3078,VO,COC90557,99.78163520548095,USD,3,R4
2011-10-25,2011-10-27,ES,P1211,Desc_P1211,VO,COC80056,253.66776690870154,EUR,10,R1
2010-07-29,2010-09-07,FR,P2339,Desc_P2339,VO,COC92143,370.344650711233,EUR,1,R1
2009-09-13,2009-11-02,DE,P1134,Desc_P1134,VO,COC16326,467.3616606705103,EUR,8,R1
2011-11-23,2011-12-30,IT,P6397,Desc_P6397,VO,COC58048,460.8876700080749,USD,5,R2
2009-08-03,2009-08-30,RU,P5127,Desc_P5127,VO,COC95494,254.49770032015908,EUR,4,R1
2011-03-20,2011-03-29,IT,P2843,Desc_P2843,VO,COC64403,394.4834080145654,USD,2,R3
2009-02-14,2009-04-11,DE,P7629,Desc_P7629,VO,COC51601,335.56595545560987,EUR,8,R1
2011-06-05,2011-06-26,DE,P2235,Desc_P2235,VO,COC72853,438.8173573388572,USD,10,R4
2009-12-15,2010-02-13,DE,P4063,Desc_P4063,VO,COC76324,440.01389222972716,USD,7,R3
2010-04-22,2010-05-03,RU,P3994,Desc_P3994,VO,COC82614,415.5701967496003,USD,2,R4
2009-07-20,2009-09-12,RU,P9090,Desc_P9090,VO,COC44897,213.32558336641355,EUR,8,R2
2011-02-24,2011-03-25,DE,P6494,Desc_P6494,VO,COC99119,115.27547015188954,EUR,1,R1
2011-01-24,2011-02-17,ES,P8875,Desc_P8875,VO,COC57897,322.71403541457096,USD,2,R5
2010-06-28,2010-08-24,RU,P1131,Desc_P1131,VO,COC97934,370.2965093534748,EUR,4,R4
2010-07-23,2010-08-11,FR,P7768,Desc_P7768,VO,COC56677,495.6846986014942,USD,8,R3
2010-11-21,2011-01-04,IT,P4204,Desc_P4204,VO,COC81450,475.90281910352047,EUR,5,R2
2011-12-18,2012-01-23,ES,P1775,Desc_P1775,VO,COC88495,245.65146524593666,EUR,6,R1
2010-10-03,2010-11-01,DE,P6191,Desc_P6191,VO,COC61518,253.56772013243406,USD,3,R3
2011-07-07,2011-08-23,RU,P7452,Desc_P7452,VO,COC23439,235.91019805206645,USD,3,R2
2010-06-05,2010-06-28,RU,P4096,Desc_P4096,VO,COC70088,385.28465332441306,EUR,8,R4
2009-02-02,2009-03-10,IT,P5746,Desc_P5746,VO,COC50946,478.043376902677,USD,5,R4
2010-11-07,2010-12-09,IT,P6157,Desc_P6157,VO,COC78189,401.9937657072726,USD,2,R4
2010-12-10,2011-01-07,IT,P4093,Desc_P4093,VO,COC58497,118.14549517266886,USD,2,R5
2010-04-12,2010-04-29,RU,P6832,Desc_P6832,VO,COC43184,465.3599642173128,USD,8,R3
2009-09-24,2009-10-24,IT,P1325,Desc_P1325,VO,COC82209,358.4209486531554,USD,3,R4
2009-08-10,2009-09-30,RU,P8360,Desc_P8360,VO,COC95805,146.71356490564983,USD,5,R4
2010-01-29,2010-03-27,IT,P1285,Desc_P1285,VO,COC91466,332.0062489102672,EUR,6,R4
2009-08-07,2009-09-10,FR,P1962,Desc_P1962,VO,COC23872,63.01034344113533,EUR,7,R1
2011-12-13,2011-12-16,FR,P6011,Desc_P6011,VO,COC72847,337.8386211195829,USD,4,R5
2009-07-22,2009-07-25,DE,P8751,Desc_P8751,VO,COC94405,234.70040664336702,EUR,8,R4
2011-01-13,2011-02-10,RU,P3094,Desc_P3094,VO,COC74553,309.02243668606116,USD,4,R2
2009-11-06,2009-12-23,FR,P9263,Desc_P9263,VO,COC52390,198.780265381745,EUR,7,R4
2010-09-02,2010-10-11,FR,P4921,Desc_P4921,VO,COC45456,305.5113684777118,USD,4,R3
2010-04-14,2010-05-27,DE,P7404,Desc_P7404,VO,COC75314,187.54103309512942,EUR,3,R3
2010-04-13,2010-05-20,FR,P1665,Desc_P1665,VO,COC72276,363.0960794276895,USD,8,R4
